Country Name,reduced_cotwo_emi,Year,Value,Indicator Name
United States,1,1998,7803.69760452993,en_use
Australia,0,1999,5644.26397588297,en_use
Austria,1,1999,3591.8094661828,en_use
Belgium,1,1999,5612.71467558683,en_use
Canada,0,1999,8107.51515577335,en_use
Switzerland,1,1999,3547.37289002744,en_use
Chile,0,1999,1649.13111862423,en_use
Colombia,0,1999,665.812129796546,en_use
Costa Rica,0,1999,673.794736801634,en_use
Czechia,1,1999,3782.88920697092,en_use
Germany,0,1999,4079.93334441166,en_use
Denmark,1,1999,3602.67063825597,en_use
Spain,1,1999,2877.98241384113,en_use
Estonia,1,1999,3462.76696752513,en_use
Finland,1,1999,6283.95825823535,en_use
France,1,1999,4123.00136089231,en_use
United Kingdom,1,1999,3784.07408782037,en_use
Greece,1,1999,2390.08286610533,en_use
Hungary,1,1999,2490.71260352839,en_use
Ireland,1,1999,3544.38761623166,en_use
Iceland,0,1999,10038.3119247533,en_use
Israel,0,1999,2737.73665306122,en_use
Italy,1,1999,2957.31148591361,en_use
Japan,0,1999,4011.22477908253,en_use
"Korea, Rep.",0,1999,3708.70521294343,en_use
Lithuania,1,1999,2259.65641367013,en_use
Luxembourg,1,1999,7266.97253034439,en_use
Latvia,0,1999,1663.91505980802,en_use
Mexico,0,1999,1555.87706043122,en_use
Netherlands,0,1999,4730.22968250619,en_use
Norway,0,1999,5913.30220916454,en_use
New Zealand,0,1999,4307.93043206175,en_use
Poland,0,1999,2396.69212354978,en_use
Portugal,1,1999,2390.49473136561,en_use
Slovak Republic,1,1999,3271.41393100841,en_use
Slovenia,1,1999,3242.4861765618,en_use
Sweden,1,1999,5661.49145946307,en_use
Turkiye,0,1999,1115.01198492727,en_use
United States,1,1999,7923.22389263188,en_use
Australia,0,2000,5680.90287554624,en_use
Austria,1,2000,3570.49882632185,en_use
Belgium,1,2000,5669.35817583222,en_use
Canada,0,2000,8265.07992477285,en_use
Switzerland,1,2000,3480.59157184118,en_use
Chile,0,2000,1639.40102394514,en_use
Colombia,0,2000,658.25391140436,en_use
Costa Rica,0,2000,722.152456540811,en_use
Czechia,1,2000,3988.03849376645,en_use
Germany,0,2000,4094.0603595302,en_use
Denmark,1,2000,3489.61479626999,en_use
Spain,1,2000,3003.76167204662,en_use
Estonia,1,2000,3374.70838985386,en_use
Finland,1,2000,6262.19207918382,en_use
France,1,2000,4134.87457868652,en_use
United Kingdom,1,2000,3785.75312644999,en_use
Greece,1,2000,2506.6399477022,en_use
Hungary,1,2000,2448.14033846536,en_use
Ireland,1,2000,3626.74716057663,en_use
Iceland,0,2000,11091.5488700414,en_use
Israel,0,2000,2899.42661790428,en_use
Italy,1,2000,3012.19499987601,en_use
Japan,0,2000,4083.83169745276,en_use
"Korea, Rep.",0,2000,4002.67128368549,en_use
Lithuania,1,2000,2037.61955870721,en_use
Luxembourg,1,2000,7676.83703873481,en_use
Latvia,0,2000,1618.46001140419,en_use
Mexico,0,2000,1532.54088070184,en_use
Netherlands,0,2000,4739.06592522326,en_use
Norway,0,2000,5826.07776899719,en_use
New Zealand,0,2000,4430.22785597636,en_use
